【Time】：2018-07-07 11:38:23 ------【IP】:::ffff:127.0.0.1------【Interface】:findRedPacket------【query】:{"userId":"US20180703153848ELPFDR","type":"1"}------【msg】:length:1;rs:[{"rid":1,"redPacketId":"RP20180704145321IWWRCO","userId":"US20180703153848ELPFDR","type":"1","likes":0,"content":"agagg","imgs":"sgag","ulist":"","redRange":0,"moneys":25,"thigh":"","createtime":"2018-07-06T09:26:10.000Z","updtime":"2018-07-04T06:53:21.000Z","userInfo":"","rpNum":10,"way":"0","lng":0,"lat":0,"cityCode":0,"address":""}]
【Time】：2018-07-07 18:03:45 ------【IP】:::ffff:127.0.0.1------【Interface】:setRedPacket------【query】:{"userId":"US20180706152326F2743T","type":"0","content":"agagg","imgs":"sgag","moneys":"45","num":"10","redRange":"0","lng":"22.2445","lat":"99.23355","cityCode":"012023"}------【msg】:查询用户信息成功;results:[{"headImg":"http://img1.shikee.com/try/2016/06/23/14381920926024616259.jpg_220x220.jpg","uname":"FZCMK6"}]
【Time】：2018-07-07 18:04:30 ------【IP】:::ffff:127.0.0.1------【Interface】:setRedPacket------【query】:{"userId":"US20180706152326F2743T","type":"0","content":"agagg","imgs":"sgag","moneys":"45","num":"10","redRange":"0","lng":"22.2445","lat":"99.23355","cityCode":"012023"}------【msg】:查询用户信息成功;results:[{"headImg":"http://img1.shikee.com/try/2016/06/23/14381920926024616259.jpg_220x220.jpg","uname":"FZCMK6"}]
【Time】：2018-07-07 18:04:30 ------【IP】:::ffff:127.0.0.1------【Interface】:setRedPacket------【query】:{"userId":"US20180706152326F2743T","type":"0","content":"agagg","imgs":"sgag","moneys":"45","num":"10","redRange":"0","lng":"22.2445","lat":"99.23355","cityCode":"012023"}------【msg】:查询用户信息成功;results:[{"headImg":"http://img1.shikee.com/try/2016/06/23/14381920926024616259.jpg_220x220.jpg","uname":"FZCMK6"}]【errType】:写入数据库失败------【msg】:Error: ER_WRONG_VALUE_COUNT_ON_ROW: Column count doesn't match value count at row 1
【Time】：2018-07-07 18:07:40 ------【IP】:::ffff:127.0.0.1------【Interface】:setRedPacket------【query】:{"userId":"US20180706152326F2743T","type":"0","content":"agagg","imgs":"sgag","moneys":"45","num":"10","redRange":"0","lng":"22.2445","lat":"99.23355","cityCode":"012023"}------【msg】:查询用户信息成功;results:[{"headImg":"http://img1.shikee.com/try/2016/06/23/14381920926024616259.jpg_220x220.jpg","uname":"FZCMK6"}]
【Time】：2018-07-07 18:07:40 ------【IP】:::ffff:127.0.0.1------【Interface】:setRedPacket------【query】:{"userId":"US20180706152326F2743T","type":"0","content":"agagg","imgs":"sgag","moneys":"45","num":"10","redRange":"0","lng":"22.2445","lat":"99.23355","cityCode":"012023"}------【msg】:查询用户信息成功;results:[{"headImg":"http://img1.shikee.com/try/2016/06/23/14381920926024616259.jpg_220x220.jpg","uname":"FZCMK6"}]【errType】:写入数据库失败------【msg】:Error: ER_WRONG_VALUE_COUNT_ON_ROW: Column count doesn't match value count at row 1
